"ComID","location","Year","gender","age_group","total_cancers","head_neck","Lip","Tongue","Mouth","pharynx_tonsil","paranasal_sinuses","Larynx","gastro_intestinal","Esophagus","Stomach","small_bowel","colon_rectum","liver_biliary_tract","Pancreas","peritoneum_GI_unspecified","Respiratory","lung_trachea_bronchus","mediastinum_pleura","Breast","skin_melanoma","melanoma_skin","other_skin","gynecological","cervix","body_uterus","Ovary","other_female_genital","genito_urinary","Testis","penis_male_genital_unspecified","Bladder","kidney_ureter_other_urinary","lymphomas","non_hodgkins_lymphoma","hodgkins_lymphoma","hematologic","multiple_myeloma","Leukemia","miscellaneous_proliferative","Other","eye_lacrimal_gland","Brain","meninges_spinal_cord_other_CNS","Thyroid","other_endocrine","bone_connective_tissue","other_Ill_defined_sites","unknown_primary","Prostate"
"pro9012","Nova Scotia","2002-2006","Male","35-64",1830,135,20,20,25,50,5,20,395,20,45,10,255,25,35,0,200,195,5,5,150,0,0,0,0,0,0,0,515,55,5,40,125,160,135,25,90,15,55,25,180,5,55,5,40,0,15,10,45,290
"pro9012","Nova Scotia","2004-2008","Male","65-74",3650,185,10,45,25,45,10,45,790,60,80,10,510,60,75,0,535,525,5,10,150,0,0,0,0,0,0,0,1485,0,10,105,170,135,130,10,150,40,75,35,215,10,60,0,30,0,20,10,75,1195
"pro9012","Nova Scotia","2002-2006","Female","0-19",75,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,5,15,0,10,20,0,20,0,30,5,10,0,5,0,5,0,0,0
"pro9012","Nova Scotia","2002-2006","Female","20-34",285,0,0,0,0,0,0,0,15,0,0,0,10,0,0,0,5,5,0,35,35,0,0,55,45,5,5,0,5,0,0,0,5,45,15,30,15,0,10,5,80,0,10,0,55,0,10,0,5,0
"pro9012","Nova Scotia","2002-2006","Female","35-64",2585,40,5,5,15,10,5,5,280,10,15,5,215,10,20,0,230,230,0,1015,165,0,0,350,135,115,75,25,85,0,0,10,75,120,105,15,60,10,35,15,240,0,30,5,150,5,15,10,35,0
"pro9012","Nova Scotia","2002-2006","Female","65-74",2555,55,5,10,10,20,5,10,440,10,25,10,300,25,55,15,385,375,5,800,105,0,0,310,25,200,65,20,115,0,0,35,80,105,95,10,80,25,35,20,160,0,30,0,45,0,10,10,65,0
"pro9012","Nova Scotia","2002-2006","Female","75+",6765,95,10,15,40,15,5,10,1890,50,120,20,1340,105,235,20,1080,1075,5,1585,180,0,0,545,55,260,170,60,345,0,0,135,210,265,255,10,290,65,145,75,490,10,60,0,50,5,35,40,290,0
"pro9012","Nova Scotia","2002-2006","Male","0-19",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,5,0,0,5,20,10,10,20,0,20,0,30,5,10,0,0,5,10,0,0,0
"pro9012","Nova Scotia","2002-2006","Male","20-34",205,5,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,80,75,0,0,5,40,15,20,15,0,10,0,35,0,10,0,10,0,10,0,0,0
"pro9012","Nova Scotia","2002-2006","Male","65-74",3285,150,15,30,25,40,0,40,720,55,75,5,485,30,70,0,530,520,10,10,115,0,0,0,0,0,0,0,1300,5,10,95,155,135,125,10,115,35,55,25,210,5,55,0,30,0,20,10,85,1040
"pro9012","Nova Scotia","2002-2006","Male","75+",8360,265,45,30,40,45,15,90,2015,135,200,30,1335,115,190,5,1680,1645,35,20,225,0,0,0,0,0,0,0,3060,5,15,385,300,270,260,10,345,95,155,90,485,10,70,0,25,5,30,35,305,2360
"pro9012","Nova Scotia","2004-2008","Female","0-19",70,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,15,5,10,15,0,15,0,30,5,10,0,5,5,5,0,0,0
"pro9012","Nova Scotia","2004-2008","Female","20-34",285,5,0,0,0,0,0,0,15,0,0,0,15,0,0,0,5,5,0,45,30,0,0,50,40,0,5,0,5,0,0,0,5,35,10,25,10,0,10,5,80,0,10,0,55,0,10,0,5,0
"pro9012","Nova Scotia","2004-2008","Female","35-64",2595,45,0,10,15,5,5,5,290,5,20,10,215,10,30,0,235,235,0,990,165,0,0,330,115,130,60,30,80,0,0,10,70,105,90,15,60,10,30,20,300,5,40,5,190,5,15,10,30,0
"pro9012","Nova Scotia","2004-2008","Female","65-74",2775,60,0,10,15,20,5,10,440,15,25,10,295,30,55,10,430,420,5,840,125,0,0,355,35,220,80,25,145,0,0,40,105,115,110,10,90,25,45,20,180,5,40,0,65,0,15,10,45,0
"pro9012","Nova Scotia","2004-2008","Female","75+",7415,110,10,25,40,20,5,15,2025,60,125,35,1430,100,260,20,1270,1255,15,1680,210,0,0,580,55,275,185,65,345,0,0,120,220,320,305,15,345,80,160,105,530,10,75,5,85,5,45,40,265,0
"pro9012","Nova Scotia","2004-2008","Male","0-19",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,5,0,0,5,20,5,10,25,0,20,0,25,0,5,0,0,5,10,0,0,0
"pro9012","Nova Scotia","2004-2008","Male","20-34",210,5,0,5,0,0,0,0,20,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,75,70,0,0,5,35,10,25,10,0,10,0,50,0,15,0,15,0,15,0,0,0
"pro9012","Nova Scotia","2004-2008","Male","35-64",1855,125,10,20,25,45,5,25,390,25,50,10,240,30,35,0,180,175,5,5,145,0,0,0,0,0,0,0,570,55,5,35,135,165,140,25,90,10,60,20,185,5,55,5,45,0,20,10,45,340
"pro9012","Nova Scotia","2004-2008","Male","75+",8825,265,25,45,35,60,10,95,2130,130,195,30,1415,145,210,10,1720,1680,40,25,250,0,0,0,0,0,0,0,3230,5,15,400,335,280,275,5,420,110,190,115,505,10,65,0,50,0,30,35,310,2470
"pro9012","Nova Scotia","2006-2010","Female","0-19",75,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,NA,NA,0,5,15,10,5,15,0,15,0,35,5,10,0,5,5,10,0,0,NA
"pro9012","Nova Scotia","2006-2010","Female","20-34",290,5,0,0,5,0,0,0,20,0,0,0,15,0,0,0,5,5,0,45,40,0,0,50,35,5,10,5,5,NA,NA,0,5,35,5,30,10,0,5,5,70,0,10,0,45,0,10,0,0,NA
"pro9012","Nova Scotia","2006-2010","Female","35-64",2620,40,0,10,15,5,5,10,310,5,20,10,220,15,35,5,235,235,0,985,195,0,0,300,90,120,50,40,85,NA,NA,10,75,105,85,20,65,20,35,10,295,5,40,5,190,5,20,10,20,NA
"pro9012","Nova Scotia","2006-2010","Female","65-74",2950,55,0,10,15,20,0,10,460,15,25,5,315,35,45,15,440,430,10,930,130,0,0,375,35,230,80,25,150,NA,NA,35,115,120,115,5,85,20,50,10,200,5,45,0,85,0,15,10,45,NA
"pro9012","Nova Scotia","2006-2010","Female","75+",7695,130,5,30,40,20,10,20,2025,60,120,45,1400,105,250,50,1400,1385,15,1745,230,0,0,625,50,285,175,115,355,NA,NA,130,225,330,310,20,335,85,155,95,520,10,70,0,90,0,30,30,285,NA
"pro9012","Nova Scotia","2006-2010","Male","0-19",80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,10,5,0,0,0,15,5,10,25,0,25,0,25,0,5,0,0,5,10,0,0,0
"pro9012","Nova Scotia","2006-2010","Male","20-34",195,5,0,5,0,0,0,0,20,0,0,0,15,0,0,0,0,0,0,0,15,0,0,NA,NA,NA,NA,NA,60,60,0,0,5,35,10,20,10,0,10,0,45,0,20,0,10,0,10,0,0,0
"pro9012","Nova Scotia","2006-2010","Male","35-64",1840,130,5,30,20,45,5,25,385,35,50,10,240,25,30,0,170,165,5,5,135,0,0,NA,NA,NA,NA,NA,590,55,5,35,135,175,145,30,75,15,45,15,175,5,50,5,50,0,20,10,35,355
"pro9012","Nova Scotia","2006-2010","Male","65-74",3855,200,5,55,25,55,10,50,855,70,75,15,535,75,75,10,540,525,10,10,175,0,0,NA,NA,NA,NA,NA,1560,5,15,100,190,165,145,20,145,45,70,30,210,15,50,0,40,5,15,10,75,1250
"pro9012","Nova Scotia","2006-2010","Male","75+",8815,255,10,40,50,60,10,85,2180,135,185,35,1420,160,210,35,1695,1645,50,25,310,0,0,NA,NA,NA,NA,NA,3170,5,20,405,360,310,295,15,375,120,170,85,495,10,85,0,50,0,40,35,275,2380
